% Model,SimulationB.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 9 2023, 14:31"
% Table,Evaluation Group 1 - 
% Time (s),es.Q0_2/es.V0_2 (F),"Displacement field, X-component (Âµm), Point: 292"
0,2.5917372607657494E-13,5.866389866583321E-29
1.0E-5,2.5917372731983457E-13,1.1617314812528144E-8
2.0E-5,2.591737697042266E-13,4.5577917043496585E-7
3.0000000000000004E-5,2.5917402946330204E-13,3.2789201728248855E-6
3.9999999999999996E-5,2.5917497118739283E-13,1.3670212447061514E-5
5.0E-5,2.591776929336629E-13,4.392078921291144E-5
6.000000000000001E-5,2.5918394569686713E-13,1.1368223770327003E-4
7.000000000000001E-5,2.5919690733387815E-13,2.590535394301037E-4
8.0E-5,2.5922030704082673E-13,5.22117632850957E-4
9.0E-5,2.592582288209344E-13,9.494311958956864E-4
1.0E-4,2.5931660613328717E-13,0.0016075244774709848
1.1E-4,2.5940058261929887E-13,0.0025546877643972737
1.2000000000000002E-4,2.595161758000368E-13,0.0038580448130410704
1.3000000000000002E-4,2.596652613847918E-13,0.005537555128066831
1.4000000000000001E-4,2.5985202967713753E-13,0.007638413210443832
1.5000000000000001E-4,2.600803555395612E-13,0.010200814189767685
1.6E-4,2.603437149470327E-13,0.013150329753209344
1.7E-4,2.606429357508876E-13,0.016491079348708443
1.8E-4,2.609803845560783E-13,0.02024253377810078
1.9E-4,2.613420848053753E-13,0.024248414775345683
2.0E-4,2.617161835001572E-13,0.028376217760251482
2.1E-4,2.6210409844907407E-13,0.03263489158342809
2.2E-4,2.6248281784236963E-13,0.03677448620917144
2.3E-4,2.6283792304879315E-13,0.04064095599399701
2.4000000000000003E-4,2.6316130215771053E-13,0.04414889129949246
2.5E-4,2.634326264238414E-13,0.04708114164344944
2.6000000000000003E-4,2.636398672308061E-13,0.04931848882426377
2.7E-4,2.637782003428271E-13,0.050810717334062054
2.8000000000000003E-4,2.6383770813118325E-13,0.05145826888351028
2.9E-4,2.638151683410161E-13,0.051228971059233616
3.0000000000000003E-4,2.6371959884694994E-13,0.05020607144512939
3.1E-4,2.6354564043154044E-13,0.04833268120760711
3.2E-4,2.6331575118419574E-13,0.04585665435068879
3.3000000000000005E-4,2.6302979811243284E-13,0.042769358525837006
3.4E-4,2.627065238576729E-13,0.03927197385684321
3.5000000000000005E-4,2.623597493069304E-13,0.03550019130803781
3.6E-4,2.6200267143314275E-13,0.031577632464993774
3.7000000000000005E-4,2.6164821418940884E-13,0.027680076150965106
3.8E-4,2.6130773806787436E-13,0.023915488882143062
3.9000000000000005E-4,2.609885575977922E-13,0.020378622249279353
4.0E-4,2.5841676213016815E-13,0.017134670902105832
4.1000000000000005E-4,2.6043471555229856E-13,0.014213188147689113
4.2E-4,2.602024031279213E-13,0.011612207168190553
4.3000000000000004E-4,2.5999898175959326E-13,0.009327403645663795
4.4E-4,2.5982430062741075E-13,0.007360632922261516
4.5000000000000004E-4,2.596776445965312E-13,0.0057057565233128655
4.6E-4,2.595586177832024E-13,0.004360245765051357
4.7000000000000004E-4,2.5946763978061435E-13,0.003329156094747268
4.8000000000000007E-4,2.594056765363843E-13,0.002624560756188835
4.900000000000001E-4,2.593750836823501E-13,0.002274676521310917
5.0E-4,2.593789160577536E-13,0.0023141227308112336
5.1E-4,2.594211372562884E-13,0.0027876397768450147
5.200000000000001E-4,2.5950531131537567E-13,0.0037352175896540217
5.300000000000001E-4,2.5963525163633817E-13,0.005198420116676902
5.4E-4,2.598131770009013E-13,0.00719978954750839
5.5E-4,2.6004014836227024E-13,0.009748144398670054
5.600000000000001E-4,2.603150081264352E-13,0.0128264597364427
5.700000000000001E-4,2.606342592519727E-13,0.01639085425209857
5.8E-4,2.6099224723092916E-13,0.02037259365397055
5.9E-4,2.613809468287807E-13,0.02467662114785713
6.000000000000001E-4,2.617875604275783E-13,0.02915829526125713
6.100000000000001E-4,2.621972824641707E-13,0.033653329937480464
6.2E-4,2.6260049665361806E-13,0.03805401143200511
6.3E-4,2.629761845372512E-13,0.04213667127014628
6.4E-4,2.633034542666285E-13,0.04568390576829751
6.500000000000001E-4,2.635773750418041E-13,0.04864128763776926
6.600000000000001E-4,2.637810620171137E-13,0.050835420446787835
6.7E-4,2.639008882871306E-13,0.05212690104336209
6.8E-4,2.6393260045727447E-13,0.052475711906630286
6.900000000000001E-4,2.6387865262453307E-13,0.05190977246204616
7.000000000000001E-4,2.6374234360478536E-13,0.05045526050994659
7.1E-4,2.635335564129204E-13,0.048204822258418094
7.2E-4,2.6325400710722226E-13,0.045203735128537925
7.300000000000001E-4,2.6292783692770515E-13,0.04168550301349614
7.400000000000001E-4,2.625816211293081E-13,0.0379082309695619
7.5E-4,2.622097939373978E-13,0.033834959045326234
7.6E-4,2.618377742241167E-13,0.029729269622548217
7.700000000000001E-4,2.6148296261343654E-13,0.025812784157043318
7.800000000000001E-4,2.611561325296146E-13,0.022166233134404575
7.9E-4,2.609204194818255E-13,0.018814505127352305
8.0E-4,2.601087414168002E-13,0.015847015196604718
8.100000000000001E-4,Inf,0.013227859608424862
8.200000000000001E-4,-Inf,0.011003642886119954
8.300000000000001E-4,Inf,0.009151238489229
8.4E-4,Inf,0.007596911479083264
8.500000000000001E-4,-Inf,0.006153429397408131
8.600000000000001E-4,-Inf,0.005032136622353392
8.700000000000001E-4,-Inf,0.003937818023646435
8.8E-4,-Inf,0.0031578144354144377
8.900000000000001E-4,-Inf,0.0023778108471824333
9.000000000000001E-4,Inf,0.0017154864337215717
9.100000000000001E-4,Inf,0.0011465199008495518
9.2E-4,Inf,6.622878812317887E-4
9.3E-4,Inf,2.627903748682725E-4
9.400000000000001E-4,-Inf,-6.555595152812432E-5
9.500000000000001E-4,Inf,-3.281865529702391E-4
9.600000000000001E-4,Inf,-5.161913150629855E-4
9.7E-4,Inf,-6.295702378063628E-4
9.800000000000002E-4,Inf,-6.903362111696306E-4
9.9E-4,Inf,-7.9746798770621E-4
0.001,Inf,-8.797789023482612E-4
0.00101,Inf,-9.372689550957818E-4
0.00102,Inf,-9.699381459487711E-4
0.00103,Inf,-9.777864749072303E-4
0.0010400000000000001,Inf,-9.608139419711587E-4
0.0010500000000000002,Inf,-9.190205471405562E-4
0.0010600000000000002,Inf,-8.52406290415423E-4
0.00107,Inf,-7.781152472348613E-4
0.00108,Inf,-7.155405550651644E-4
0.00109,Inf,-6.529658628954674E-4
0.0011,Inf,-5.903911707257704E-4
0.00111,Inf,-5.278164785560735E-4
0.0011200000000000001,Inf,-4.652417863863765E-4
0.0011300000000000001,Inf,-4.0266709421667954E-4
0.0011400000000000002,Inf,-3.4009240204698263E-4
0.0011500000000000002,Inf,-2.7751770987728566E-4
0.00116,Inf,-2.534046624060198E-4
0.00117,Inf,-2.402118732143299E-4
0.00118,Inf,-2.2701908402264E-4
0.00119,Inf,-2.1382629483095007E-4
0.0012000000000000001,Inf,-2.0063350563926012E-4
0.0012100000000000001,Inf,-1.8744071644757022E-4
0.0012200000000000002,Inf,-1.742479272558803E-4
0.0012300000000000002,Inf,-1.610551380641904E-4
0.00124,Inf,-1.4786234887250078E-4
0.00125,Inf,-1.3466955968081086E-4
0.00126,Inf,-1.2147677048912095E-4
0.00127,Inf,-1.0828398129743102E-4
0.00128,Inf,-9.509119210574112E-5
0.0012900000000000001,Inf,-8.18984029140512E-5
0.0013000000000000002,Inf,-6.870561372236129E-5
0.0013100000000000002,Inf,-5.5512824530671366E-5
0.0013200000000000002,Inf,-4.232003533898146E-5
0.00133,-Inf,-3.320140998366084E-5
0.00134,-Inf,-3.122082063732755E-5
0.00135,-Inf,-2.924023129099425E-5
0.00136,-Inf,-2.7259641944660956E-5
0.0013700000000000001,-Inf,-2.5279052598327664E-5
0.0013800000000000002,-Inf,-2.3298463251994368E-5
0.0013900000000000002,-Inf,-2.1317873905661072E-5
0.0014000000000000002,-Inf,-1.9337284559327783E-5
0.00141,-Inf,-1.735669521299453E-5
0.00142,-Inf,-1.5376105866661235E-5
0.00143,-Inf,-1.3395516520327945E-5
0.00144,-Inf,-1.141492717399465E-5
0.0014500000000000001,-Inf,-9.434337827661355E-6
0.0014600000000000001,-Inf,-7.453748481328061E-6
0.0014700000000000002,-Inf,-5.473159134994767E-6
0.0014800000000000002,-Inf,-3.492569788661473E-6
0.0014900000000000002,-Inf,-1.5119804423281792E-6
0.0015,-Inf,4.686089040050717E-7
0.00151,-Inf,6.398747408685091E-7
0.00152,-Inf,7.116463402220518E-7
0.0015300000000000001,-Inf,7.834179395755946E-7
0.0015400000000000001,-Inf,8.551895389291375E-7
0.0015500000000000002,-Inf,9.269611382826804E-7
0.0015600000000000002,-Inf,9.987327376362229E-7
0.0015700000000000002,-Inf,1.0705043369897659E-6
0.00158,-Inf,1.1422759363433071E-6
0.00159,-Inf,1.2140475356968499E-6
0.0016,-Inf,1.2858191350503924E-6
0.00161,-Inf,1.3575907344039354E-6
0.0016200000000000001,-Inf,1.4293623337574784E-6
0.0016300000000000002,-Inf,1.501133933111021E-6
0.0016400000000000002,-Inf,1.5729055324645636E-6
0.0016500000000000002,-Inf,1.6446771318181066E-6
0.0016600000000000002,-Inf,1.7164487311716492E-6
0.00167,-Inf,1.7882203305251902E-6
0.00168,-Inf,1.8599919298787334E-6
0.00169,-Inf,1.931763529232276E-6
0.0017000000000000001,-Inf,2.003535128585819E-6
0.0017100000000000001,-Inf,1.931320125582166E-6
0.0017200000000000002,-Inf,1.851187336102965E-6
0.0017300000000000002,-Inf,1.771054546623765E-6
0.0017400000000000002,-Inf,1.6909217571445644E-6
0.00175,-Inf,1.6107889676653656E-6
0.00176,-Inf,1.5306561781861648E-6
0.00177,-Inf,1.4505233887069642E-6
0.0017800000000000001,-Inf,1.3703905992277637E-6
0.0017900000000000001,-Inf,1.2902578097485632E-6
0.0018000000000000002,-Inf,1.2101250202693626E-6
0.0018100000000000002,-Inf,1.129992230790162E-6
0.0018200000000000002,-Inf,1.0498594413109615E-6
0.0018300000000000002,-Inf,9.697266518317607E-7
0.00184,-Inf,8.89593862352562E-7
0.00185,-Inf,8.094610728733615E-7
0.00186,-Inf,7.293282833941608E-7
0.0018700000000000001,-Inf,6.491954939149603E-7
0.0018800000000000002,-Inf,5.690627044357597E-7
0.0018900000000000002,-Inf,4.889299149565592E-7
0.0019000000000000002,-Inf,4.087971254773586E-7
0.0019100000000000002,-Inf,3.9429206938213527E-7
0.0019200000000000003,-Inf,3.833958655780397E-7
0.00193,-Inf,3.7249966177394435E-7
0.00194,-Inf,3.616034579698487E-7
0.0019500000000000001,-Inf,3.507072541657531E-7
0.0019600000000000004,-Inf,3.398110503616572E-7
0.00197,-Inf,3.2891484655756203E-7
0.00198,-Inf,3.1801864275346644E-7
0.00199,-Inf,3.0712243894937085E-7
0.002,-Inf,2.962262351452752E-7
